hadoop.common.configuration.version,version of this configuration file,0.23.0
yarn.app.mapreduce.am.job.committer.commit-window,"Defines a time window in milliseconds for output commit  operations.  If contact with the RM has occurred within this window then  commits are allowed, otherwise the AM will not allow output commits until  contact with the RM has been re-established.",10000
mapreduce.fileoutputcommitter.algorithm.version,"The file output committer algorithm version  valid algorithm version number: 1 or 2  default to 1, which is the original algorithm  In algorithm version 1,  1. commitTask will rename directory  $joboutput/_temporary/$appAttemptID/_temporary/$taskAttemptID/  to  $joboutput/_temporary/$appAttemptID/$taskID/  2. recoverTask will also do a rename  $joboutput/_temporary/$appAttemptID/$taskID/  to  $joboutput/_temporary/($appAttemptID + 1)/$taskID/  3. commitJob will merge every task output file in  $joboutput/_temporary/$appAttemptID/$taskID/  to  $joboutput/, then it will delete $joboutput/_temporary/  and write $joboutput/_SUCCESS  It has a performance regression, which is discussed in MAPREDUCE-4815.  If a job generates many files to commit then the commitJob  method call at the end of the job can take minutes.  the commit is single-threaded and waits until all  tasks have completed before commencing.  algorithm version 2 will change the behavior of commitTask,  recoverTask, and commitJob.  1. commitTask will rename all files in  $joboutput/_temporary/$appAttemptID/_temporary/$taskAttemptID/  to $joboutput/  2. recoverTask actually doesn't require to do anything, but for  upgrade from version 1 to version 2 case, it will check if there  are any files in  $joboutput/_temporary/($appAttemptID - 1)/$taskID/  and rename them to $joboutput/  3. commitJob can simply delete $joboutput/_temporary and write  $joboutput/_SUCCESS  This algorithm will reduce the output commit time for  large jobs by having the tasks commit directly to the final  output directory as they were completing and commitJob had  very little to do.  ",1
yarn.app.mapreduce.am.scheduler.heartbeat.interval-ms,The interval in ms at which the MR AppMaster should send heartbeats to the ResourceManager,1000
yarn.app.mapreduce.client-am.ipc.max-retries,The number of client retries to the AM - before reconnecting to the RM to fetch Application Status.,3
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,The number of client retries on socket timeouts to the AM - before reconnecting to the RM to fetch Application Status.,3
yarn.app.mapreduce.client.max-retries,The number of client retries to the RM/HS before throwing exception. This is a layer above the ipc.,3
yarn.app.mapreduce.am.resource.mb,The amount of memory the MR AppMaster needs.,1536
yarn.app.mapreduce.am.resource.cpu-vcores,   The number of virtual CPU cores the MR AppMaster needs.  ,1
yarn.app.mapreduce.am.hard-kill-timeout-ms,  Number of milliseconds to wait before the job client kills the application.  ,10000
yarn.app.mapreduce.client.job.max-retries,"The number of retries the client will make for getJob and dependent calls. This is needed for non-HDFS DFS where additional, high level retries are required to avoid spurious failures during the getJob call. 30 is a good value for WASB",3
yarn.app.mapreduce.client.job.retry-interval,The delay between getJob retries in ms for retries configured  with yarn.app.mapreduce.client.job.max-retries.,2000
mapreduce.application.classpath,"CLASSPATH for MR applications. A comma-separated list  of CLASSPATH entries. If mapreduce.application.framework is set then this  must specify the appropriate classpath for that archive, and the name of  the archive must be present in the classpath.  If mapreduce.app-submission.cross-platform is false, platform-specific  environment vairable expansion syntax would be used to construct the default  CLASSPATH entries.  For Linux:  $HADOOP_MAPRED_HOME/share/hadoop/mapreduce/*,  $HADOOP_MAPRED_HOME/share/hadoop/mapreduce/lib/*.  For Windows:  %HADOOP_MAPRED_HOME%/share/hadoop/mapreduce/*,  %HADOOP_MAPRED_HOME%/share/hadoop/mapreduce/lib/*.  If mapreduce.app-submission.cross-platform is true, platform-agnostic default  CLASSPATH for MR applications would be used:  {{HADOOP_MAPRED_HOME}}/share/hadoop/mapreduce/*,  {{HADOOP_MAPRED_HOME}}/share/hadoop/mapreduce/lib/*  Parameter expansion marker will be replaced by NodeManager on container  launch based on the underlying OS accordingly.  ",
mapreduce.app-submission.cross-platform,"If enabled, user can submit an application cross-platform  i.e. submit an application from a Windows client to a Linux/Unix server or  vice versa.  ",false
mapreduce.application.framework.path,"Path to the MapReduce framework archive. If set, the framework archive will automatically be distributed along with the job, and this path would normally reside in a public location in an HDFS filesystem. As with distributed cache files, this can be a URL with a fragment specifying the alias to use for the archive name. For example, hdfs:/mapred/framework/hadoop-mapreduce-2.1.1.tar.gz#mrframework would alias the localized archive as ""mrframework"". Note that mapreduce.application.classpath must include the appropriate classpath for the specified framework. The base name of the archive, or alias of the archive if an alias is used, must appear in the specified classpath.  ",
mapreduce.job.classloader,Whether to use a separate (isolated) classloader for user classes in the task JVM.,false
mapreduce.job.classloader.system.classes,"Used to override the default definition of the system classes for the job classloader. The system classes are a comma-separated list of patterns that indicate whether to load a class from the system classpath, instead from the user-supplied JARs, when mapreduce.job.classloader is enabled. A positive pattern is defined as:  1. A single class name 'C' that matches 'C' and transitively all nested   classes 'C$*' defined in C;  2. A package name ending with a '.' (e.g., ""com.example."") that matches   all classes from that package. A negative pattern is defined by a '-' in front of a positive pattern (e.g., ""-com.example.""). A class is considered a system class if and only if it matches one of the positive patterns and none of the negative ones. More formally: A class is a member of the inclusion set I if it matches one of the positive patterns. A class is a member of the exclusion set E if it matches one of the negative patterns. The set of system classes S = I \ E.  ",
mapreduce.jvm.system-properties-to-log,Comma-delimited list of system properties to log on mapreduce JVM start,"os.name,os.version,java.home,java.runtime.version,java.vendor,java.version,java.vm.name,java.class.path,java.io.tmpdir,user.dir,user.name"
mapreduce.jobhistory.address,MapReduce JobHistory Server IPC host:port,0.0.0.0:10020
mapreduce.jobhistory.webapp.address,MapReduce JobHistory Server Web UI host:port,0.0.0.0:19888
mapreduce.jobhistory.webapp.https.address, The https address the MapReduce JobHistory Server WebApp is on.  ,0.0.0.0:19890
mapreduce.jobhistory.keytab, Location of the kerberos keytab file for the MapReduce JobHistory Server.  ,/etc/security/keytab/jhs.service.keytab
mapreduce.jobhistory.principal, Kerberos principal name for the MapReduce JobHistory Server.  ,jhs/_HOST@REALM.TLD
mapreduce.jobhistory.intermediate-done-dir,,${yarn.app.mapreduce.am.staging-dir}/history/done_intermediate
mapreduce.jobhistory.done-dir,,${yarn.app.mapreduce.am.staging-dir}/history/done
mapreduce.jobhistory.cleaner.enable,,true
mapreduce.jobhistory.cleaner.interval-ms," How often the job history cleaner checks for files to delete,  in milliseconds. Defaults to 86400000 (one day). Files are only deleted if  they are older than mapreduce.jobhistory.max-age-ms.  ",86400000
mapreduce.jobhistory.max-age-ms, Job history files older than this many milliseconds will  be deleted when the history cleaner runs. Defaults to 604800000 (1 week).  ,604800000
mapreduce.jobhistory.client.thread-count,The number of threads to handle client API requests,10
mapreduce.jobhistory.datestring.cache.size,Size of the date string cache. Effects the number of directories  which will be scanned to find a job.,200000
mapreduce.jobhistory.joblist.cache.size,Size of the job list cache,20000
mapreduce.jobhistory.loadedjobs.cache.size,Size of the loaded job cache.  This property is ignored if  the property mapreduce.jobhistory.loadedtasks.cache.size is set to a  positive value.  ,5
mapreduce.jobhistory.loadedtasks.cache.size,"Change the job history cache limit to be set in terms  of total task count.  If the total number of tasks loaded exceeds  this value, then the job cache will be shrunk down until it is  under this limit (minimum 1 job in cache).  If this value is empty  or nonpositive then the cache reverts to using the property  mapreduce.jobhistory.loadedjobs.cache.size as a job cache size.  Two recommendations for the mapreduce.jobhistory.loadedtasks.cache.size  property:  1) For every 100k of cache size, set the heap size of the Job History  Server to 1.2GB. For example,  mapreduce.jobhistory.loadedtasks.cache.size=500000, heap size=6GB.  2) Make sure that the cache size is larger than the number of tasks  required for the largest job run on the cluster. It might be a good  idea to set the value slightly higher (say, 20%) in order to allow  for job size growth.  ",
mapreduce.jobhistory.move.interval-ms,Scan for history files to more from intermediate done dir to done  dir at this frequency.  ,180000
mapreduce.jobhistory.move.thread-count,The number of threads used to move files.,3
mapreduce.jobhistory.store.class,The HistoryStorage class to use to cache history data.,
mapreduce.jobhistory.minicluster.fixed.ports,Whether to use fixed ports with the minicluster,false
mapreduce.jobhistory.admin.address,The address of the History server admin interface.,0.0.0.0:10033
mapreduce.jobhistory.admin.acl,ACL of who can be admin of the History server.,*
mapreduce.jobhistory.recovery.enable,Enable the history server to store server state and recover  server state upon startup.  If enabled then  mapreduce.jobhistory.recovery.store.class must be specified.,false
mapreduce.jobhistory.recovery.store.class,The HistoryServerStateStoreService class to store history server  state for recovery.,org.apache.hadoop.mapreduce.v2.hs.HistoryServerFileSystemStateStoreService
mapreduce.jobhistory.recovery.store.fs.uri,The URI where history server state will be stored if  HistoryServerFileSystemStateStoreService is configured as the recovery  storage class.,${hadoop.tmp.dir}/mapred/history/recoverystore
mapreduce.jobhistory.recovery.store.leveldb.path,The URI where history server state will be stored if  HistoryServerLeveldbSystemStateStoreService is configured as the recovery  storage class.,${hadoop.tmp.dir}/mapred/history/recoverystore
mapreduce.jobhistory.http.policy, This configures the HTTP endpoint for JobHistoryServer web UI. The following values are supported: - HTTP_ONLY : Service is provided only on http - HTTPS_ONLY : Service is provided only on https  ,HTTP_ONLY
mapreduce.jobhistory.jobname.limit,  Number of characters allowed for job name in Job History Server web page.  ,50
mapreduce.jobhistory.jhist.format,"  File format the AM will use when generating the .jhist file.  Valid  values are ""json"" for text output and ""binary"" for faster parsing.  ",json
yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size,The initial size of thread pool to launch containers in the app master.  ,10
mapreduce.task.exit.timeout,"The number of milliseconds before a task will be  terminated if it stays in finishing state for too long.  After a task attempt completes from TaskUmbilicalProtocol's point of view,  it will be transitioned to finishing state. That will give a chance for the  task to exit by itself.  ",60000
mapreduce.task.exit.timeout.check-interval-ms,The interval in milliseconds between which the MR framework  checks if task attempts stay in finishing state for too long.  ,20000
mapreduce.task.local-fs.write-limit.bytes,"Limit on the byte written to the local file system by each task.  This limit only applies to writes that go through the Hadoop filesystem APIs  within the task process (i.e.: writes that will update the local filesystem's  BYTES_WRITTEN counter). It does not cover other writes such as logging,  sideband writes from subprocesses (e.g.: streaming jobs), etc.  Negative values disable the limit.  default is -1",-1
mapreduce.jobhistory.webapp.rest-csrf.enabled, Enable the CSRF filter for the job history web app  ,false
mapreduce.jobhistory.webapp.rest-csrf.custom-header, Optional parameter that indicates the custom header name to use for CSRF protection.  ,X-XSRF-Header
mapreduce.jobhistory.webapp.rest-csrf.methods-to-ignore, Optional parameter that indicates the list of HTTP methods that do not require CSRF protection  ,"GET,OPTIONS,HEAD"
mapreduce.job.cache.limit.max-resources,"The maximum number of resources a map reduce job is allowed to submit for localization via files, libjars, archives, and jobjar command line arguments and through the distributed cache. If set to 0 the limit is ignored.  ",0
mapreduce.job.cache.limit.max-resources-mb,"The maximum size (in MB) a map reduce job is allowed to submit for localization via files, libjars, archives, and jobjar command line arguments and through the distributed cache. If set to 0 the limit is ignored.  ",0
mapreduce.job.cache.limit.max-single-resource-mb,"The maximum size (in MB) of a single resource a map reduce job is allow to submit for localization via files, libjars, archives, and jobjar command line arguments and through the distributed cache. If set to 0 the limit is ignored.  ",0
mapreduce.jobhistory.webapp.xfs-filter.xframe-options, Value of the xframe-options  ,SAMEORIGIN
mapreduce.jobhistory.loadedjob.tasks.max, The maximum number of tasks that a job can have so that the Job History Server will fully parse its associated job history file and load it into memory. A value of -1 (default) will allow all jobs to be loaded.  ,-1
mapreduce.job.redacted-properties, The list of job configuration properties whose value will be redacted.  ,
mapreduce.job.send-token-conf," This configuration is a regex expression. The list of configurations that match the regex expression will be sent to RM. RM will use these configurations for renewing tokens. This configuration is added for below scenario: User needs to run distcp jobs across two clusters, but the RM does not have necessary hdfs configurations to connect to the remote hdfs cluster. Hence, user relies on this config to send the configurations to RM and RM uses these configurations to renew tokens. For example the following regex expression indicates the minimum required configs for RM to connect to a remote hdfs cluster: dfs.nameservices|^dfs.namenode.rpc-address.*$|^dfs.ha.namenodes.*$|^dfs.client.failover.proxy.provider.*$|dfs.namenode.kerberos.principal  ",
yarn.ipc.client.factory.class,Factory to create client IPC classes.,
yarn.ipc.server.factory.class,Factory to create server IPC classes.,
yarn.ipc.record.factory.class,Factory to create serializeable records.,
yarn.ipc.rpc.class,RPC class implementation,org.apache.hadoop.yarn.ipc.HadoopYarnProtoRPC
yarn.resourcemanager.hostname,The hostname of the RM.,0.0.0.0
yarn.resourcemanager.address,The address of the applications manager interface in the RM.,${yarn.resourcemanager.hostname}:8032
yarn.resourcemanager.bind-host,"   The actual address the server will bind to. If this optional address is   set, the RPC and webapp servers will bind to this address and the port specified in   yarn.resourcemanager.address and yarn.resourcemanager.webapp.address, respectively. This   is most useful for making RM listen to all interfaces by setting to 0.0.0.0. ",
yarn.resourcemanager.auto-update.containers,"   If set to true, then ALL container updates will be automatically sent to   the NM in the next heartbeat",false
yarn.resourcemanager.client.thread-count,The number of threads used to handle applications manager requests.,50
yarn.resourcemanager.amlauncher.thread-count,Number of threads used to launch/cleanup AM.,50
yarn.resourcemanager.nodemanager-connect-retries,Retry times to connect with NM.,10
yarn.dispatcher.drain-events.timeout,"Timeout in milliseconds when YARN dispatcher tries to drain the   events. Typically, this happens when service is stopping. e.g. RM drains   the ATS events dispatcher when stopping. ",300000
yarn.am.liveness-monitor.expiry-interval-ms,The expiry interval for application master reporting.,600000
yarn.resourcemanager.principal,The Kerberos principal for the resource manager.,
yarn.resourcemanager.scheduler.address,The address of the scheduler interface.,${yarn.resourcemanager.hostname}:8030
yarn.resourcemanager.scheduler.client.thread-count,Number of threads to handle scheduler interface.,50
yarn.resourcemanager.application-master-service.processors,   Comma separated class names of ApplicationMasterServiceProcessor   implementations. The processors will be applied in the order   they are specified. ,
yarn.http.policy,  This configures the HTTP endpoint for YARN Daemons.The following  values are supported:  - HTTP_ONLY : Service is provided only on http  - HTTPS_ONLY : Service is provided only on https   ,HTTP_ONLY
yarn.resourcemanager.webapp.address,"   The http address of the RM web application.   If only a host is provided as the value,   the webapp will be served on a random port. ",${yarn.resourcemanager.hostname}:8088
yarn.resourcemanager.webapp.https.address,"   The https address of the RM web application.   If only a host is provided as the value,   the webapp will be served on a random port. ",${yarn.resourcemanager.hostname}:8090
yarn.resourcemanager.webapp.spnego-keytab-file, The Kerberos keytab file to be used for spnego filter for the RM web interface. ,
yarn.resourcemanager.webapp.spnego-principal, The Kerberos principal to be used for spnego filter for the RM web interface. ,
yarn.resourcemanager.webapp.ui-actions.enabled, Add button to kill application in the RM Application view. ,true
yarn.webapp.ui2.enable,To enable RM web ui2 application.,false
yarn.webapp.ui2.war-file-path,   Explicitly provide WAR file path for ui2 if needed. ,
yarn.resourcemanager.resource-tracker.address,,${yarn.resourcemanager.hostname}:8031
yarn.acl.enable,Are acls enabled.,false
yarn.acl.reservation-enable,Are reservation acls enabled.,false
yarn.admin.acl,ACL of who can be admin of the YARN cluster.,*
yarn.resourcemanager.admin.address,The address of the RM admin interface.,${yarn.resourcemanager.hostname}:8033
yarn.resourcemanager.admin.client.thread-count,Number of threads used to handle RM admin interface.,1
yarn.resourcemanager.connect.max-wait.ms,Maximum time to wait to establish connection to ResourceManager.,900000
yarn.resourcemanager.connect.retry-interval.ms,How often to try connecting to the ResourceManager.,30000
yarn.resourcemanager.am.max-attempts,"The maximum number of application attempts. It's a global setting for all application masters. Each application master can specify its individual maximum number of application attempts via the API, but the individual number cannot be more than the global upper bound. If it is, the resourcemanager will override it. The default number is set to 2, to allow at least one retry for AM.",2
yarn.resourcemanager.container.liveness-monitor.interval-ms,How often to check that containers are still alive. ,600000
yarn.resourcemanager.keytab,The keytab for the resource manager.,/etc/krb5.keytab
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,Flag to enable override of the default kerberos authentication filter with the RM authentication filter to allow authentication using delegation tokens(fallback to kerberos if the tokens are missing). Only applicable when the http authentication type is kerberos.,true
yarn.resourcemanager.webapp.cross-origin.enabled,Flag to enable cross-origin (CORS) support in the RM. This flag requires the CORS filter initializer to be added to the filter initializers list in core-site.xml.,false
yarn.nm.liveness-monitor.expiry-interval-ms,How long to wait until a node manager is considered dead.,600000
yarn.resourcemanager.nodes.include-path,Path to file with nodes to include.,
yarn.resourcemanager.nodes.exclude-path,Path to file with nodes to exclude.,
yarn.resourcemanager.node-ip-cache.expiry-interval-secs,The expiry interval for node IP caching. -1 disables the caching,-1
yarn.resourcemanager.resource-tracker.client.thread-count,Number of threads to handle resource tracker calls.,50
yarn.resourcemanager.scheduler.class,The class to use as the resource scheduler.,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler
yarn.scheduler.minimum-allocation-mb,"The minimum allocation for every container request at the RM in MBs. Memory requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have less memory than this value will be shut down by the resource manager.",1024
yarn.scheduler.maximum-allocation-mb,The maximum allocation for every container request at the RM in MBs. Memory requests higher than this will throw an InvalidResourceRequestException.,8192
yarn.scheduler.minimum-allocation-vcores,"The minimum allocation for every container request at the RM in terms of virtual CPU cores. Requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have fewer virtual cores than this value will be shut down by the resource manager.",1
yarn.scheduler.maximum-allocation-vcores,The maximum allocation for every container request at the RM in terms of virtual CPU cores. Requests higher than this will throw an InvalidResourceRequestException.,4
yarn.scheduler.include-port-in-node-name," Used by node labels.  If set to true, the port should be included in the node name.  Only usable if your scheduler supports node labels. ",false
yarn.resourcemanager.recovery.enabled,"Enable RM to recover state after starting. If true, then   yarn.resourcemanager.store.class must be specified. ",false
yarn.resourcemanager.fail-fast,"Should RM fail fast if it encounters any errors. By defalt, it   points to ${yarn.fail-fast}. Errors include:   1) exceptions when state-store write/read operations fails. ",${yarn.fail-fast}
yarn.fail-fast,"Should YARN fail fast if it encounters any errors.   This is a global config for all other components including RM,NM etc.   If no value is set for component-specific config (e.g yarn.resourcemanager.fail-fast),   this value will be the default. ",false
yarn.resourcemanager.work-preserving-recovery.enabled,Enable RM work preserving recovery. This configuration is private to YARN for experimenting the feature. ,true
yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,"Set the amount of time RM waits before allocating new containers on work-preserving-recovery. Such wait period gives RM a chance to settle down resyncing with NMs in the cluster on recovery, before assigning new containers to applications. ",10000
yarn.resourcemanager.store.class,"The class to use as the persistent store.   If org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore   is used, the store is implicitly fenced; meaning a single ResourceManager   is able to use the store at any point in time. More details on this   implicit fencing, along with setting up appropriate ACLs is discussed   under yarn.resourcemanager.zk-state-store.root-node.acl. ",org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore
yarn.resourcemanager.ha.failover-controller.active-standby-elector.zk.retries,"When automatic failover is enabled, number of zookeeper   operation retry times in ActiveStandbyElector",
yarn.resourcemanager.state-store.max-completed-applications,"The maximum number of completed applications RM state store keeps, less than or equals to ${yarn.resourcemanager.max-completed-applications}. By default, it equals to ${yarn.resourcemanager.max-completed-applications}. This ensures that the applications kept in the state store are consistent with the applications remembered in RM memory. Any values larger than ${yarn.resourcemanager.max-completed-applications} will be reset to ${yarn.resourcemanager.max-completed-applications}. Note that this value impacts the RM recovery performance.Typically, a smaller value indicates better performance on RM recovery. ",${yarn.resourcemanager.max-completed-applications}
yarn.resourcemanager.zk-state-store.parent-path,Full path of the ZooKeeper znode where RM state will be stored. This must be supplied when using org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore as the value for yarn.resourcemanager.store.class,/rmstore
yarn.resourcemanager.zk-state-store.root-node.acl,"   ACLs to be used for the root znode when using ZKRMStateStore in an HA   scenario for fencing.   ZKRMStateStore supports implicit fencing to allow a single   ResourceManager write-access to the store. For fencing, the   ResourceManagers in the cluster share read-write-admin privileges on the   root node, but the Active ResourceManager claims exclusive create-delete   permissions.   By default, when this property is not set, we use the ACLs from   yarn.resourcemanager.zk-acl for shared admin access and   rm-address:random-number for username-based exclusive create-delete   access.   This property allows users to set ACLs of their choice instead of using   the default mechanism. For fencing to work, the ACLs should be   carefully set differently on each ResourceManger such that all the   ResourceManagers have shared admin access and the Active ResourceManger   takes over (exclusively) the create-delete access. ",
yarn.resourcemanager.fs.state-store.uri,URI pointing to the location of the FileSystem path where RM state will be stored. This must be supplied when using org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore as the value for yarn.resourcemanager.store.class,${hadoop.tmp.dir}/yarn/system/rmstore
yarn.resourcemanager.fs.state-store.retry-policy-spec,"hdfs client retry policy specification. hdfs client retry is always enabled. Specified in pairs of sleep-time and number-of-retries and (t0, n0), (t1, n1), ..., the first n0 retries sleep t0 milliseconds on average, the following n1 retries sleep t1 milliseconds on average, and so on. ","2000, 500"
yarn.resourcemanager.fs.state-store.num-retries,the number of retries to recover from IOException in FileSystemRMStateStore. ,0
yarn.resourcemanager.fs.state-store.retry-interval-ms,Retry interval in milliseconds in FileSystemRMStateStore. ,1000
yarn.resourcemanager.leveldb-state-store.path,Local path where the RM state will be stored when using org.apache.hadoop.yarn.server.resourcemanager.recovery.LeveldbRMStateStore as the value for yarn.resourcemanager.store.class,${hadoop.tmp.dir}/yarn/system/rmstore
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,The time in seconds between full compactions of the leveldb database. Setting the interval to zero disables the full compaction cycles.,3600
yarn.resourcemanager.ha.enabled,"Enable RM high-availability. When enabled,   (1) The RM starts in the Standby mode by default, and transitions to   the Active mode when prompted to.   (2) The nodes in the RM ensemble are listed in   yarn.resourcemanager.ha.rm-ids   (3) The id of each RM either comes from yarn.resourcemanager.ha.id   if yarn.resourcemanager.ha.id is explicitly specified or can be   figured out by matching yarn.resourcemanager.address.{id} with local address   (4) The actual physical addresses come from the configs of the pattern   - {rpc-config}.{id}",false
yarn.resourcemanager.ha.automatic-failover.enabled,"Enable automatic failover.   By default, it is enabled only when HA is enabled",true
yarn.resourcemanager.ha.automatic-failover.embedded,"Enable embedded automatic failover.   By default, it is enabled only when HA is enabled.   The embedded elector relies on the RM state store to handle fencing,   and is primarily intended to be used in conjunction with ZKRMStateStore. ",true
yarn.resourcemanager.ha.automatic-failover.zk-base-path,"The base znode path to use for storing leader information,   when using ZooKeeper based leader election.",/yarn-leader-election
yarn.resourcemanager.zk-appid-node.split-index,"Index at which last section of application id (with each section   separated by _ in application id) will be split so that application znode   stored in zookeeper RM state store will be stored as two different znodes   (parent-child). Split is done from the end.   For instance, with no split, appid znode will be of the form   application_1352994193343_0001. If the value of this config is 1, the   appid znode will be broken into two parts application_1352994193343_000   and 1 respectively with former being the parent node.   application_1352994193343_0002 will then be stored as 2 under the parent   node application_1352994193343_000. This config can take values from 0 to 4.   0 means there will be no split. If configuration value is outside this   range, it will be treated as config value of 0(i.e. no split). A value   larger than 0 (up to 4) should be configured if you are storing a large number   of apps in ZK based RM state store and state store operations are failing due to   LenError in Zookeeper.",0
yarn.resourcemanager.zk-delegation-token-node.split-index,"Index at which the RM Delegation Token ids will be split so   that the delegation token znodes stored in the zookeeper RM state store   will be stored as two different znodes (parent-child). The split is done   from the end. For instance, with no split, a delegation token znode will   be of the form RMDelegationToken_123456789. If the value of this config is   1, the delegation token znode will be broken into two parts:   RMDelegationToken_12345678 and 9 respectively with former being the parent   node. This config can take values from 0 to 4. 0 means there will be no   split. If the value is outside this range, it will be treated as 0 (i.e.   no split). A value larger than 0 (up to 4) should be configured if you are   running a large number of applications, with long-lived delegation tokens   and state store operations (e.g. failover) are failing due to LenError in   Zookeeper.",0
yarn.resourcemanager.zk-max-znode-size.bytes,Specifies the maximum size of the data that can be stored   in a znode. Value should be same or less than jute.maxbuffer configured   in zookeeper. Default value configured is 1MB.,1048576
yarn.resourcemanager.cluster-id,"Name of the cluster. In a HA setting,   this is used to ensure the RM participates in leader   election for this cluster and ensures it does not affect   other clusters",
yarn.resourcemanager.ha.rm-ids,The list of RM nodes in the cluster when HA is   enabled. See description of yarn.resourcemanager.ha   .enabled for full details on how this is used.,
yarn.resourcemanager.ha.id,"The id (string) of the current RM. When HA is enabled, this   is an optional config. The id of current RM can be set by explicitly   specifying yarn.resourcemanager.ha.id or figured out by matching   yarn.resourcemanager.address.{id} with local address   See description of yarn.resourcemanager.ha.enabled   for full details on how this is used.",
yarn.client.failover-proxy-provider,"When HA is enabled, the class to be used by Clients, AMs and   NMs to failover to the Active RM. It should extend   org.apache.hadoop.yarn.client.RMFailoverProxyProvider",org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider
yarn.client.failover-max-attempts,"When HA is enabled, the max number of times   FailoverProxyProvider should attempt failover. When set,   this overrides the yarn.resourcemanager.connect.max-wait.ms. When   not set, this is inferred from   yarn.resourcemanager.connect.max-wait.ms.",
yarn.client.failover-sleep-base-ms,"When HA is enabled, the sleep base (in milliseconds) to be   used for calculating the exponential delay between failovers. When set,   this overrides the yarn.resourcemanager.connect.* settings. When   not set, yarn.resourcemanager.connect.retry-interval.ms is used instead. ",
yarn.client.failover-sleep-max-ms,"When HA is enabled, the maximum sleep time (in milliseconds)   between failovers. When set, this overrides the   yarn.resourcemanager.connect.* settings. When not set,   yarn.resourcemanager.connect.retry-interval.ms is used instead.",
yarn.client.failover-retries,"When HA is enabled, the number of retries per   attempt to connect to a ResourceManager. In other words,   it is the ipc.client.connect.max.retries to be used during   failover attempts",0
yarn.client.failover-retries-on-socket-timeouts,"When HA is enabled, the number of retries per   attempt to connect to a ResourceManager on socket timeouts. In other   words, it is the ipc.client.connect.max.retries.on.timeouts to be used   during failover attempts",0
yarn.resourcemanager.max-completed-applications,The maximum number of completed applications RM keeps. ,10000
yarn.resourcemanager.delayed.delegation-token.removal-interval-ms,Interval at which the delayed token removal thread runs,30000
yarn.resourcemanager.delegation-token.max-conf-size-bytes,"Maximum size in bytes for configurations that can be provided   by application to RM for delegation token renewal.   By experiment, it's roughly 128 bytes per key-value pair.   The default value 12800 allows roughly 100 configs, may be less. ",12800
yarn.resourcemanager.proxy-user-privileges.enabled,"If true, ResourceManager will have proxy-user privileges. Use case: In a secure cluster, YARN requires the user hdfs delegation-tokens to do localization and log-aggregation on behalf of the user. If this is set to true, ResourceManager is able to request new hdfs delegation tokens on behalf of the user. This is needed by long-running-service, because the hdfs tokens will eventually expire and YARN requires new valid tokens to do localization and log-aggregation. Note that to enable this use case, the corresponding HDFS NameNode has to configure ResourceManager as the proxy-user so that ResourceManager can itself ask for new tokens on behalf of the user when tokens are past their max-life-time.",false
yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,Interval for the roll over for the master key used to generate  application tokens ,86400
yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,Interval for the roll over for the master key used to generate  container tokens. It is expected to be much greater than  yarn.nm.liveness-monitor.expiry-interval-ms and  yarn.resourcemanager.rm.container-allocation.expiry-interval-ms. Otherwise the  behavior is undefined. ,86400
yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,The heart-beat interval in milliseconds for every NodeManager in the cluster.,1000
yarn.resourcemanager.nodemanager.minimum.version,"The minimum allowed version of a connecting nodemanager.  The valid values are   NONE (no version checking), EqualToRM (the nodemanager's version is equal to   or greater than the RM version), or a Version String.",NONE
yarn.resourcemanager.scheduler.monitor.enable,Enable a set of periodic monitors (specified in  yarn.resourcemanager.scheduler.monitor.policies) that affect the  scheduler.,false
yarn.resourcemanager.scheduler.monitor.policies,"The list of SchedulingEditPolicy classes that interact with  the scheduler. A particular module may be incompatible with the  scheduler, other policies, or a configuration of either.",org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.ProportionalCapacityPreemptionPolicy
yarn.resourcemanager.configuration.provider-class,"The class to use as the configuration provider. If org.apache.hadoop.yarn.LocalConfigurationProvider is used, the local configuration will be loaded. If org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider is used, the configuration which will be loaded should be uploaded to remote File system first. ",org.apache.hadoop.yarn.LocalConfigurationProvider
yarn.resourcemanager.configuration.file-system-based-store, The value specifies the file system (e.g. HDFS) path where ResourceManager loads configuration if yarn.resourcemanager.configuration.provider-class is set to org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider. ,/yarn/conf
